SOLUTION_MASTER_SPECIES
#element	master species	alkalinity	gfw|formula	gfw of element	source
Acetate	HAcetate	0.0	Acetate	59.	#llnl.dat
Ag	Ag+	0.0	Ag	107.8682	#llnl.dat
Ag(+1)	Ag+	0	Ag	None	#llnl.dat
Ag(+2)	Ag+2	0	Ag	None	#llnl.dat
Al	Al+3	0.0	Al	26.9815	#llnl.dat
Alkalinity	HCO3-	1.0	Ca0.5(CO3)0.5	50.05	#llnl.dat
Am	Am+3	0.0	Am	243.0000	#llnl.dat
Am(+2)	Am+2	0.0	Am	None	#llnl.dat
Am(+3)	Am+3	0.0	Am	None	#llnl.dat
Am(+4)	Am+4	0.0	Am	None	#llnl.dat
Am(+5)	AmO2+	0.0	Am	None	#llnl.dat
Am(+6)	AmO2+2	0.0	Am	None	#llnl.dat
Ar	Ar	0.0	Ar	39.948	#llnl.dat
As	H2AsO4-	0.0	As	74.9216	#llnl.dat
As(-3)	AsH3	0.0	As	None	#llnl.dat
As(+3)	H2AsO3-	0.0	As	None	#llnl.dat
As(+5)	H2AsO4-	0.0	As	None	#llnl.dat
Au	Au+	0.0	Au	196.9665	#llnl.dat
Au(+1)	Au+	0.0	Au	None	#llnl.dat
Au(+3)	Au+3	0.0	Au	None	#llnl.dat
B	B(OH)3	0.0	B	10.811	#llnl.dat
B(+3)	B(OH)3	0	B	None	#llnl.dat
B(-5)	BH4-	0	B	None	#llnl.dat
Ba	Ba+2	0.0	Ba	137.3270	#llnl.dat
Be	Be+2	0.0	Be	9.0122	#llnl.dat
Br	Br-	0.0	Br	79.904	#llnl.dat
Br(-03)	Br3-	0	Br	None	#llnl.dat
Br(-1)	Br-	0	Br	None	#llnl.dat
Br(0)	Br2	0	Br	None	#llnl.dat
Br(+1)	BrO-	0	Br	None	#llnl.dat
Br(+5)	BrO3-	0	Br	None	#llnl.dat
Br(+7)	BrO4-	0	Br	None	#llnl.dat
C(-4)	CH4	0.0	CH4	None	#llnl.dat
